Date,Close
2022-01-03,3817.75
2022-01-04,3884.75
2022-01-05,3860.949951171875
2022-01-06,3807.449951171875
2022-01-07,3853.5
2022-01-10,3879.85009765625
2022-01-11,3915.89990234375
2022-01-12,3859.89990234375
2022-01-13,3897.89990234375
2022-01-14,3968.14990234375
2022-01-17,4019.14990234375
2022-01-18,3990.60009765625
2022-01-19,3914.64990234375
2022-01-20,3826.550048828125
2022-01-21,3833.5
2022-01-24,3771.35009765625
2022-01-25,3769.89990234375
2022-01-27,3649.25
2022-01-28,3690.050048828125
2022-01-31,3736.25
2022-02-01,3800.64990234375
2022-02-02,3856.199951171875
2022-02-03,3824.60009765625
2022-02-04,3814.89990234375
2022-02-07,3779.0
2022-02-08,3743.449951171875
2022-02-09,3760.550048828125
2022-02-10,3770.35009765625
2022-02-11,3694.949951171875
2022-02-14,3733.75
2022-02-15,3817.800048828125
2022-02-16,3813.10009765625
2022-02-17,3784.199951171875
2022-02-18,3793.89990234375
2022-02-21,3719.39990234375
2022-02-22,3586.39990234375
2022-02-23,3563.800048828125
2022-02-24,3401.64990234375
2022-02-25,3520.75
2022-02-28,3554.199951171875
2022-03-02,3546.14990234375
2022-03-03,3544.39990234375
2022-03-04,3524.35009765625
2022-03-07,3484.89990234375
2022-03-08,3599.949951171875
2022-03-09,3632.60009765625
2022-03-10,3620.949951171875
2022-03-11,3599.14990234375
2022-03-14,3643.0
2022-03-15,3593.89990234375
2022-03-16,3655.89990234375
2022-03-17,3672.75
2022-03-21,3626.699951171875
2022-03-22,3700.949951171875
2022-03-23,3712.39990234375
2022-03-24,3749.85009765625
2022-03-25,3707.449951171875
2022-03-28,3707.699951171875
2022-03-29,3705.35009765625
2022-03-30,3731.550048828125
2022-03-31,3739.949951171875
2022-04-01,3758.75
2022-04-04,3770.35009765625
2022-04-05,3814.800048828125
2022-04-06,3755.35009765625
2022-04-07,3684.14990234375
2022-04-08,3685.64990234375
2022-04-11,3696.39990234375
2022-04-12,3691.10009765625
2022-04-13,3661.949951171875
2022-04-18,3528.050048828125
2022-04-19,3471.89990234375
2022-04-20,3556.800048828125
2022-04-21,3628.64990234375
2022-04-22,3612.550048828125
2022-04-25,3548.199951171875
